exit_date_utc,equity
start,10000.00
2023-10-24 08:00,9900.00
2023-10-26 07:00,9949.50
2023-11-20 03:00,9850.00
2023-12-07 16:00,9997.76
2023-12-19 09:00,10047.74
2024-01-03 12:00,9947.27
2024-04-11 15:00,10096.48
2024-04-26 21:00,10247.92
2024-05-16 14:00,10299.16
2024-05-30 05:00,10350.66
2024-06-03 15:00,10247.15
2024-06-20 09:00,10400.86
2024-07-03 06:00,10556.87
2024-07-03 15:00,10451.30
2024-07-19 06:00,10503.56
2024-07-24 04:00,10661.11
2024-08-02 16:00,10821.03
2024-08-07 02:00,10875.13
2024-09-02 00:00,10766.38
2024-09-12 01:00,10820.22
2024-09-19 01:00,10712.01
2024-10-02 11:00,10604.89
2024-10-23 01:00,10763.97
2024-11-05 19:00,10656.33
2024-11-15 19:00,10709.61
2024-11-29 19:00,10870.25
2024-12-04 10:00,10761.55
2024-12-18 21:00,10922.97
2024-12-19 16:00,11086.82
2025-02-05 03:00,10975.95
2025-02-12 02:00,11030.83
2025-03-18 03:00,11085.98
2025-03-19 19:00,10975.12
2025-03-28 15:00,10865.37
2025-07-31 14:00,10756.72
2025-08-01 15:00,10649.15
2025-08-22 15:00,10542.66
2025-08-28 04:00,10437.23
2025-09-05 15:00,10332.86
2025-09-30 07:00,10384.53
2025-11-20 02:00,10540.29
2025-12-09 08:00,10434.89
2025-12-29 01:00,10487.06
2026-01-05 01:00,10644.37
2026-01-05 13:00,10537.93
2026-01-09 15:00,10696.00
2026-01-19 00:00,10749.48
2026-03-12 01:00,10641.98
2026-03-19 18:00,10535.56
2026-03-30 02:00,10588.24
2026-04-30 05:00,10747.06
2026-04-30 11:00,10639.59
2026-06-17 20:00,10799.19
2026-06-18 19:00,10961.17
2026-06-22 15:00,11015.98
2026-07-01 01:00,11181.22
2026-07-23 13:00,11348.94
2026-07-29 05:00,11235.45
