exit_date_utc,equity
start,10000.00
2023-10-24 09:00,9900.00
2023-10-27 09:00,9801.00
2023-11-03 15:00,9997.02
2023-11-07 12:00,9897.05
2023-11-22 18:00,9798.08
2023-11-27 15:00,9700.10
2023-11-29 10:00,9603.10
2023-11-29 23:00,9505.12
2023-12-04 15:00,9406.15
2023-12-07 15:00,9312.08
2023-12-27 16:00,9510.03
2023-12-27 17:00,9700.13
2024-01-11 14:00,9603.13
2024-02-01 06:00,9795.19
2024-02-07 10:00,9697.24
2024-02-13 08:00,9891.18
2024-02-20 11:00,9792.27
2024-03-08 14:00,9696.24
2024-03-18 15:00,9894.06
2024-03-19 10:00,9796.14
2024-03-21 09:00,9994.02
2024-04-04 00:00,9894.08
2024-04-12 13:00,9794.14
2024-04-16 02:00,9694.20
2024-04-17 18:00,9597.26
2024-04-19 03:00,9791.14
2024-04-22 04:00,9693.23
2024-05-13 14:00,9887.10
2024-05-30 07:00,9788.22
2024-06-07 13:00,9690.34
2024-06-09 22:00,9591.47
2024-06-20 14:00,9495.56
2024-06-30 23:00,9397.67
2024-07-01 02:00,9302.72
2024-08-05 00:00,9488.77
2024-08-05 06:00,9674.83
2024-08-07 14:00,9579.94
2024-08-28 09:00,9771.54
2024-08-29 09:00,9673.82
2024-08-29 15:00,9578.02
2024-09-11 19:00,9482.24
2024-09-11 23:00,9386.46
2024-09-12 05:00,9290.68
2024-10-07 10:00,9197.78
2024-10-10 09:00,9383.59
2024-10-17 14:00,9571.26
2024-10-30 04:00,9762.69
2024-10-30 16:00,9666.97
2024-10-31 11:00,9571.26
2024-11-03 23:00,9473.64
2024-11-22 10:00,9663.11
2024-12-09 14:00,9566.48
2024-12-12 09:00,9469.85
2024-12-13 10:00,9375.11
2024-12-18 21:00,9566.44
2024-12-30 04:00,9470.77
2024-12-30 12:00,9375.11
2024-12-31 17:00,9566.44
2025-01-02 02:00,9472.69
2025-01-13 10:00,9662.14
2025-01-14 09:00,9567.41
2025-02-02 23:00,9471.74
2025-02-07 03:00,9377.02
2025-02-12 14:00,9283.25
2025-02-25 11:00,9190.42
2025-02-25 13:00,9096.65
2025-02-28 19:00,9003.82
2025-03-03 13:00,8910.99
2025-03-31 09:00,8821.88
2025-04-24 09:00,8733.66
2025-05-07 20:00,8646.32
2025-05-19 08:00,8559.86
2025-05-20 23:00,8474.26
2025-06-13 01:00,8389.52
2025-06-23 04:00,8304.77
2025-06-25 19:00,8474.26
2025-07-10 15:00,8389.52
2025-07-21 22:00,8305.62
2025-07-23 18:00,8222.56
2025-07-28 07:00,8140.34
2025-09-17 19:00,8303.15
2025-09-17 19:00,8465.95
2025-09-25 13:00,8381.29
2025-10-09 15:00,8548.92
2025-10-15 16:00,8463.43
2025-10-17 08:00,8632.70
2025-10-28 15:00,8547.21
2025-10-30 13:00,8461.74
2025-11-03 14:00,8375.41
2025-11-03 15:00,8290.79
2025-11-12 11:00,8456.61
2025-11-14 12:00,8373.70
2025-11-19 11:00,8289.13
2025-11-26 19:00,8206.24
2025-12-03 13:00,8121.63
2025-12-11 13:00,8040.41
2025-12-18 12:00,7960.01
2026-01-14 01:00,7880.41
2026-01-16 16:00,7799.19
2026-01-20 05:00,7721.20
2026-01-25 23:00,7880.40
2026-01-29 05:00,8038.00
2026-03-01 23:00,8195.61
2026-03-11 15:00,8107.39
2026-03-18 10:00,8025.44
2026-04-01 00:00,7945.18
2026-04-17 13:00,7863.23
2026-04-17 21:00,7784.60
2026-04-24 13:00,7706.75
2026-04-29 19:00,7627.30
2026-05-12 07:00,7551.02
2026-05-15 01:00,7475.51
2026-06-05 15:00,7625.02
2026-06-11 20:00,7548.77
2026-06-14 22:00,7472.52
2026-06-19 15:00,7625.02
2026-07-12 23:00,7548.77
