exit_date_utc,equity
start,10000.00
2023-10-24 09:00,9900.00
2023-10-27 09:00,9801.00
2023-11-03 15:00,9948.01
2023-11-07 12:00,9848.53
2023-11-29 17:00,9897.78
2023-11-30 08:00,9946.78
2023-12-07 15:00,9847.31
2023-12-08 14:00,9897.05
2023-12-12 14:00,9798.08
2023-12-21 14:00,9945.81
2023-12-27 17:00,10095.01
2023-12-28 10:00,9997.03
2023-12-28 10:00,10146.22
2024-01-02 03:00,10044.76
2024-01-02 15:00,10094.49
2024-01-11 14:00,9993.02
2024-01-26 08:00,9893.09
2024-02-01 07:00,9794.16
2024-02-05 00:00,9696.22
2024-02-13 08:00,9841.67
2024-03-06 16:00,9744.70
2024-03-08 14:00,9644.77
2024-03-14 16:00,9693.50
2024-03-18 15:00,9841.12
2024-03-20 21:00,9739.66
2024-03-21 09:00,9887.28
2024-03-22 21:00,9935.97
2024-03-28 15:00,9985.65
2024-04-01 15:00,10134.69
2024-04-03 15:00,10033.35
2024-04-03 17:00,10183.13
2024-04-04 11:00,10335.88
2024-04-12 13:00,10232.52
2024-04-12 13:00,10133.16
2024-04-17 19:00,10183.83
2024-04-19 02:00,10234.49
2024-04-22 01:00,10285.16
2024-04-22 04:00,10182.81
2024-04-23 01:00,10080.47
2024-04-30 14:00,10130.87
2024-05-03 13:00,10182.55
2024-05-22 07:00,10333.76
2024-05-22 19:00,10384.67
2024-05-29 15:00,10280.82
2024-06-04 01:00,10433.56
2024-06-05 17:00,10329.23
2024-06-07 13:00,10225.93
2024-06-26 09:00,10277.34
2024-06-28 08:00,10328.47
2024-07-12 15:00,10226.21
2024-07-17 08:00,10277.85
2024-07-22 14:00,10328.76
2024-07-24 13:00,10225.48
2024-07-24 14:00,10379.65
2024-07-26 09:00,10431.54
2024-07-29 15:00,10329.28
2024-07-31 02:00,10485.75
2024-08-01 09:00,10641.45
2024-08-02 13:00,10693.88
2024-08-05 07:00,10849.57
2024-08-07 02:00,10741.08
2024-08-07 16:00,10794.28
2024-08-12 16:00,10686.34
2024-08-28 09:00,10846.64
2024-08-28 11:00,10900.07
2024-08-29 08:00,10953.50
2024-09-06 14:00,10843.97
2024-09-06 15:00,10898.73
2024-09-11 19:00,10789.75
2024-09-12 05:00,10680.76
2024-09-12 18:00,10571.77
2024-09-18 19:00,10462.24
2024-09-25 17:00,10514.55
2024-09-25 22:00,10566.86
2024-09-27 19:00,10462.24
2024-10-01 09:00,10357.61
2024-10-04 13:00,10251.94
2024-10-04 13:00,10303.73
2024-10-07 13:00,10199.11
2024-10-15 07:00,10352.10
2024-10-17 03:00,10403.09
2024-10-21 19:00,10559.14
2024-10-23 08:00,10714.42
2024-10-25 13:00,10607.28
2024-10-30 09:00,10501.20
2024-11-01 13:00,10553.71
2024-11-06 01:00,10606.48
2024-11-06 04:00,10764.87
2024-11-06 09:00,10658.79
2024-11-18 23:00,10552.20
2024-11-21 18:00,10712.09
2024-11-22 10:00,10869.02
2024-11-25 00:00,10762.43
2024-11-27 14:00,10653.74
2024-12-09 14:00,10707.01
2024-12-12 09:00,10600.47
2024-12-18 20:00,10761.91
2024-12-18 21:00,10922.51
2024-12-29 23:00,10977.13
2024-12-30 12:00,10867.90
2025-01-06 09:00,10759.22
2025-01-10 14:00,10813.02
2025-01-14 00:00,10867.08
2025-01-14 09:00,10758.95
2025-01-20 15:00,10652.95
2025-01-28 00:00,10706.21
2025-01-31 02:00,10599.15
2025-02-02 23:00,10652.15
2025-02-07 03:00,10545.63
2025-02-25 13:00,10440.18
2025-02-27 15:00,10493.44
2025-02-28 11:00,10546.17
2025-02-28 19:00,10440.71
2025-03-06 02:00,10492.91
2025-03-06 03:00,10387.98
2025-03-25 15:00,10284.10
2025-03-31 09:00,10181.26
2025-04-01 16:00,10232.68
2025-04-03 11:00,10389.29
2025-04-03 14:00,10286.96
2025-04-04 03:00,10440.45
2025-04-11 01:00,10597.06
2025-04-16 16:00,10492.65
2025-04-29 11:00,10545.12
2025-04-30 16:00,10440.19
2025-05-06 15:00,10335.79
2025-05-08 07:00,10387.99
2025-05-08 18:00,10543.02
2025-05-19 08:00,10437.59
2025-05-26 03:00,10594.16
2025-05-29 00:00,10489.78
2025-06-16 15:00,10647.13
2025-06-23 18:00,10700.36
2025-06-25 19:00,10857.71
2025-07-03 13:00,10912.00
2025-07-07 03:00,10803.42
2025-07-15 16:00,10695.39
2025-07-28 08:00,10588.43
2025-07-29 08:00,10481.48
2025-08-01 13:00,10376.67
2025-08-01 14:00,10271.85
2025-08-06 11:00,10169.13
2025-08-11 12:00,10067.44
2025-08-22 04:00,9966.77
2025-08-28 11:00,9866.09
2025-09-02 10:00,9767.43
2025-09-17 19:00,9913.94
2025-09-17 19:00,10060.45
2025-09-25 13:00,9959.85
2025-10-07 13:00,9860.25
2025-10-09 15:00,10009.65
2025-10-15 03:00,10059.70
2025-10-15 16:00,9959.60
2025-10-21 01:00,9860.00
2025-10-24 13:00,9761.40
2025-10-30 13:00,9663.79
2025-11-03 15:00,9567.15
2025-11-07 15:00,9615.47
2025-11-13 01:00,9663.55
2025-11-14 11:00,9566.91
2025-11-26 19:00,9471.24
2025-12-17 05:00,9518.60
2026-01-05 04:00,9565.96
2026-01-07 04:00,9708.74
2026-01-12 07:00,9757.28
2026-01-18 23:00,9903.64
2026-01-20 05:00,9804.60
2026-01-22 01:00,9950.96
2026-01-25 23:00,10100.23
2026-01-27 17:00,10249.49
2026-02-01 23:00,10299.99
2026-02-06 01:00,10197.50
2026-03-11 15:00,10093.09
2026-03-26 18:00,9991.12
2026-04-01 00:00,9891.21
2026-04-17 13:00,9789.23
2026-04-17 21:00,9691.34
2026-05-15 01:00,9594.43
2026-05-27 13:00,9642.40
2026-05-29 15:00,9545.97
2026-06-05 16:00,9595.43
2026-06-08 10:00,9738.62
2026-06-11 20:00,9641.23
2026-06-14 22:00,9543.85
2026-07-15 13:00,9591.57
2026-07-30 08:00,9643.77
2026-07-30 14:00,9547.33
