exit_date_utc,equity
start,10000.00
2012-03-08 10:00,10050.00
2012-03-14 13:00,10200.75
2012-08-22 09:00,10251.75
2012-09-06 13:00,10405.53
2012-10-19 16:00,10457.56
2012-11-02 17:00,10614.42
2012-11-07 07:00,10508.28
2012-12-12 18:00,10403.19
2013-01-02 16:00,10455.21
2013-01-24 15:00,10507.49
2013-02-20 13:00,10665.10
2013-02-25 09:00,10718.42
2013-03-17 23:00,10611.24
2013-03-25 13:00,10505.13
2013-04-15 02:00,10662.70
2013-04-18 10:00,10556.08
2013-05-01 13:00,10450.52
2013-05-16 08:00,10607.27
2013-06-26 08:00,10766.38
2013-07-01 00:00,10658.72
2013-07-05 15:00,10818.60
2013-07-23 19:00,10980.88
2013-09-12 08:00,11035.78
2013-09-18 20:00,10925.43
2013-09-25 15:00,10816.17
2013-10-25 18:00,10708.01
2013-10-31 12:00,10600.93
2013-11-25 07:00,10759.94
2013-11-25 20:00,10652.34
2013-12-04 18:00,10705.61
2013-12-18 21:00,10598.55
2013-12-31 16:00,10492.56
2014-02-24 17:00,10649.95
2014-03-14 13:00,10809.70
2014-03-17 19:00,10701.61
2014-05-05 02:00,10755.11
2014-05-27 13:00,10647.56
2014-06-19 14:00,10541.09
2014-06-25 03:00,10435.68
2014-07-14 07:00,10487.85
2014-09-22 02:00,10645.17
2014-10-05 23:00,10804.85
2014-10-08 20:00,10696.80
2014-10-23 15:00,10750.28
2014-10-31 14:00,10911.54
2014-11-05 12:00,11075.21
2014-11-07 14:00,10964.46
2014-11-18 15:00,11019.28
2014-11-28 18:00,10909.09
2014-12-15 21:00,10800.00
2015-01-06 08:00,10692.00
2015-01-15 11:00,10852.38
2015-01-21 06:00,11015.16
2015-01-29 10:00,10905.01
2015-02-11 15:00,10959.54
2015-03-06 14:00,11123.93
2015-03-20 15:00,11179.55
2015-04-27 15:00,11235.45
2015-05-18 07:00,11403.98
2015-06-18 09:00,11289.94
2015-07-09 07:00,11346.39
2015-07-17 14:00,11516.59
2015-07-20 02:00,11689.33
2015-08-11 08:00,11572.44
2015-08-21 03:00,11746.03
2015-09-09 15:00,11628.57
2015-09-16 14:00,11512.28
2015-10-02 13:00,11397.16
2015-10-29 14:00,11283.19
2015-11-12 14:00,11452.44
2015-11-12 15:00,11337.91
2015-11-16 00:00,11224.53
2015-12-04 15:00,11280.65
2015-12-11 02:00,11167.85
