exit_date_utc,equity
start,10000.00
2023-10-12 18:00,9900.00
2023-10-24 08:00,9801.00
2023-10-24 09:00,9702.00
2023-10-24 15:00,9751.50
2023-10-26 07:00,9800.26
2023-10-27 09:00,9702.74
2023-10-27 19:00,9604.74
2023-11-03 15:00,9748.81
2023-11-07 12:00,9651.32
2023-11-16 14:00,9699.58
2023-11-20 03:00,9603.07
2023-11-29 17:00,9651.32
2023-11-30 08:00,9699.35
2023-12-07 07:00,9747.37
2023-12-07 15:00,9650.38
2023-12-07 16:00,9794.42
2023-12-07 18:00,9938.47
2023-12-08 14:00,9987.21
2023-12-12 14:00,9887.34
2023-12-13 15:00,10033.57
2023-12-19 09:00,9933.24
2023-12-19 09:00,9982.93
2023-12-21 14:00,10127.70
2023-12-27 17:00,10273.19
2023-12-28 10:00,10172.85
2023-12-28 10:00,10324.77
2024-01-02 03:00,10221.52
2024-01-02 15:00,10272.16
2024-01-02 15:00,10172.33
2024-01-03 12:00,10069.60
2024-01-11 14:00,9966.35
2024-01-18 16:00,9865.66
2024-01-24 22:00,9914.98
2024-01-26 08:00,9816.33
2024-01-31 00:00,9718.16
2024-02-01 07:00,9620.00
2024-02-05 00:00,9523.80
2024-02-08 18:00,9668.10
2024-02-12 17:00,9813.12
2024-02-13 08:00,9958.14
2024-02-20 16:00,9858.56
2024-03-06 16:00,9763.32
2024-03-08 14:00,9663.66
2024-03-11 13:00,9714.01
2024-03-14 16:00,9762.83
2024-03-18 15:00,9912.20
2024-03-20 21:00,9808.95
2024-03-21 09:00,9957.63
2024-03-22 21:00,10006.68
2024-03-28 15:00,10056.71
2024-04-01 15:00,10206.81
2024-04-03 15:00,10104.74
2024-04-03 17:00,10255.59
2024-04-04 11:00,10409.43
2024-04-11 15:00,10560.47
2024-04-12 13:00,10456.38
2024-04-12 13:00,10356.31
2024-04-16 03:00,10405.05
2024-04-17 19:00,10456.84
2024-04-19 01:00,10358.25
2024-04-19 02:00,10410.28
2024-04-22 01:00,10462.30
2024-04-22 04:00,10358.20
2024-04-23 01:00,10254.10
2024-04-23 14:00,10306.12
2024-04-24 14:00,10202.02
2024-04-26 04:00,10353.06
2024-04-26 21:00,10508.36
2024-04-26 21:00,10664.43
2024-04-29 02:00,10813.80
2024-04-30 14:00,10865.33
2024-05-01 21:00,10756.68
2024-05-03 13:00,10808.72
2024-05-03 15:00,10862.79
2024-05-08 15:00,11025.73
2024-05-10 13:00,11191.12
2024-05-13 15:00,11356.51
2024-05-15 19:00,11519.45
2024-05-15 23:00,11405.88
2024-05-16 14:00,11462.66
2024-05-17 16:00,11633.01
2024-05-22 07:00,11787.60
2024-05-22 12:00,11845.77
2024-05-22 19:00,11903.08
2024-05-29 15:00,11784.05
2024-05-30 05:00,11843.57
2024-05-31 16:00,11728.94
2024-06-03 15:00,11611.65
2024-06-04 01:00,11774.59
2024-06-05 10:00,11657.30
2024-06-05 17:00,11540.73
2024-06-07 13:00,11425.32
2024-06-07 19:00,11311.07
2024-06-12 13:00,11480.74
2024-06-13 09:00,11652.68
2024-06-13 17:00,11712.19
2024-06-17 19:00,11887.87
2024-06-20 09:00,12059.25
2024-06-20 15:00,11938.66
2024-06-21 15:00,11819.27
2024-06-26 09:00,11878.49
2024-06-26 15:00,12052.99
2024-06-27 15:00,12112.38
2024-06-28 08:00,12168.94
2024-06-28 14:00,12228.03
2024-07-03 06:00,12405.32
2024-07-03 15:00,12281.27
2024-07-05 16:00,12464.69
2024-07-08 12:00,12648.11
2024-07-11 07:00,12837.83
2024-07-11 13:00,12898.10
2024-07-11 13:00,13082.31
2024-07-11 15:00,13145.56
2024-07-12 15:00,13032.44
2024-07-17 08:00,13093.58
2024-07-17 09:00,13289.07
2024-07-19 06:00,13354.23
2024-07-22 14:00,13408.55
2024-07-24 04:00,13608.86
2024-07-24 13:00,13486.58
2024-07-24 14:00,13685.92
2024-07-25 04:00,13885.25
2024-07-25 08:00,14084.59
2024-07-26 09:00,14153.02
2024-07-29 15:00,14022.69
2024-07-30 07:00,13881.16
2024-07-31 02:00,14093.46
2024-07-31 13:00,14304.86
2024-08-01 02:00,14513.08
2024-08-01 09:00,14718.37
2024-08-01 09:00,14586.91
2024-08-02 13:00,14658.44
2024-08-02 15:00,14857.77
2024-08-02 16:00,15063.06
2024-08-04 23:00,15281.86
2024-08-05 07:00,15493.13
2024-08-07 02:00,15338.20
2024-08-07 02:00,15413.52
2024-08-07 16:00,15486.45
2024-08-12 16:00,15331.59
2024-08-13 14:00,15176.66
2024-08-15 13:00,15249.22
2024-08-16 07:00,15098.59
2024-08-21 19:00,15325.07
2024-08-22 16:00,15171.82
2024-08-28 09:00,15401.69
2024-08-28 11:00,15478.32
2024-08-29 08:00,15554.18
2024-08-30 17:00,15630.80
2024-09-02 00:00,15479.09
2024-09-02 14:00,15712.40
2024-09-02 14:00,15559.58
2024-09-06 14:00,15403.98
2024-09-06 15:00,15481.78
2024-09-06 16:00,15559.58
2024-09-11 06:00,15403.98
2024-09-11 19:00,15248.39
2024-09-12 01:00,15326.19
2024-09-12 05:00,15170.59
2024-09-12 18:00,15016.55
2024-09-12 20:00,14864.07
2024-09-17 20:00,14941.87
2024-09-18 19:00,14786.27
2024-09-18 19:00,14630.67
2024-09-19 01:00,14708.47
2024-09-19 01:00,14559.83
2024-09-24 15:00,14414.23
2024-09-25 17:00,14487.03
2024-09-25 22:00,14559.83
2024-09-26 13:00,14776.04
2024-09-27 19:00,14630.45
2024-10-01 09:00,14486.30
2024-10-02 11:00,14338.54
2024-10-02 13:00,14190.78
2024-10-03 08:00,14045.18
2024-10-04 13:00,13897.42
2024-10-04 13:00,13756.97
2024-10-04 13:00,13827.93
2024-10-04 14:00,14035.34
2024-10-07 13:00,13889.04
2024-10-14 14:00,14099.57
2024-10-15 06:00,13958.57
2024-10-15 07:00,14166.91
2024-10-15 15:00,14025.91
2024-10-16 07:00,13885.66
2024-10-17 03:00,13956.15
2024-10-21 03:00,13817.30
2024-10-21 19:00,14024.56
2024-10-23 01:00,14232.89
2024-10-23 08:00,14443.28
2024-10-23 15:00,14513.06
2024-10-25 13:00,14368.63
2024-10-30 09:00,14224.94
2024-10-30 23:00,14081.26
2024-11-01 00:00,14151.38
2024-11-01 13:00,14221.79
2024-11-04 04:00,14291.57
2024-11-05 19:00,14147.88
2024-11-06 01:00,14218.99
2024-11-06 04:00,14429.36
2024-11-06 09:00,14285.67
2024-11-07 16:00,14142.81
2024-11-11 19:00,14001.39
2024-11-13 16:00,14213.53
2024-11-14 16:00,14071.39
2024-11-15 17:00,14141.57
2024-11-15 19:00,13998.71
2024-11-15 19:00,14068.72
2024-11-18 20:00,14139.79
2024-11-18 23:00,13999.10
2024-11-19 21:00,13859.11
2024-11-21 18:00,14071.25
2024-11-22 10:00,14290.71
2024-11-24 23:00,14361.06
2024-11-25 00:00,14218.93
2024-11-26 01:00,14080.34
2024-11-27 07:00,14291.54
2024-11-27 14:00,14147.93
2024-11-29 19:00,14359.14
2024-12-04 08:00,14429.88
2024-12-04 10:00,14286.29
2024-12-04 10:00,14142.69
2024-12-04 21:00,14350.58
2024-12-09 14:00,14421.29
2024-12-12 09:00,14277.79
2024-12-12 15:00,14348.50
2024-12-18 20:00,14559.71
2024-12-18 21:00,14776.03
2024-12-18 21:00,14847.78
2024-12-18 21:00,15064.10
2024-12-19 08:00,15134.50
2024-12-19 16:00,15360.46
2024-12-29 23:00,15437.26
2024-12-30 12:00,15283.66
2024-12-30 16:00,15130.06
2025-01-06 09:00,14978.75
2025-01-07 08:00,15055.56
2025-01-10 14:00,15130.83
