exit_date_utc,equity
start,10000.00
2023-09-14 14:00,9900.00
2023-09-21 01:00,9801.00
2023-09-27 01:00,9981.00
2023-09-29 07:00,9882.99
2023-09-29 10:00,10061.19
2023-10-02 10:00,9963.18
2023-10-06 16:00,9863.55
2023-10-12 13:00,9764.91
2023-10-19 21:00,9940.68
2023-10-23 15:00,9841.27
2023-10-30 09:00,9743.63
2023-11-03 13:00,9919.01
2023-11-03 13:00,9819.38
2023-11-07 12:00,9721.18
2023-12-01 16:00,9623.75
2023-12-05 23:00,9526.54
2023-12-07 15:00,9431.27
2023-12-13 20:00,9336.96
2023-12-19 15:00,9511.94
2023-12-28 02:00,9683.15
2023-12-28 10:00,9589.79
2023-12-28 10:00,9766.53
2024-01-02 03:00,9668.87
2024-01-18 00:00,9572.18
2024-01-23 07:00,9476.46
2024-01-24 14:00,9381.69
2024-03-06 16:00,9287.88
2024-03-08 14:00,9191.19
2024-03-08 14:00,9358.37
2024-03-18 18:00,9264.79
2024-03-18 20:00,9168.55
2024-03-20 21:00,9070.88
2024-03-21 09:00,9235.92
2024-04-01 15:00,9402.16
2024-04-03 15:00,9308.14
2024-04-04 07:00,9471.42
2024-04-12 13:00,9376.70
2024-04-12 13:00,9284.34
2024-04-19 02:00,9451.46
2024-04-19 03:00,9618.58
2024-04-22 02:00,9522.40
2024-04-22 04:00,9426.21
2024-04-24 01:00,9333.37
2024-05-03 13:00,9501.37
2024-05-07 08:00,9406.35
2024-05-15 21:00,9311.64
2024-05-17 08:00,9480.95
2024-05-22 07:00,9648.95
2024-05-22 19:00,9554.14
2024-05-29 15:00,9458.60
2024-06-09 22:00,9365.49
2024-07-02 14:00,9271.83
2024-07-12 15:00,9178.18
2024-07-24 13:00,9085.46
2024-07-24 20:00,9255.71
2024-07-25 13:00,9160.70
2024-07-29 15:00,9068.92
2024-07-31 02:00,9233.81
2024-08-01 09:00,9397.35
2024-08-02 13:00,9306.66
2024-08-05 06:00,9472.87
2024-08-05 07:00,9637.76
2024-08-05 07:00,9806.91
2024-08-07 02:00,9708.84
2024-08-08 13:00,9611.76
2024-08-13 10:00,9515.64
2024-08-21 18:00,9686.92
2024-08-28 07:00,9861.28
2024-08-29 09:00,9764.41
2024-08-29 09:00,9667.55
2024-09-06 14:00,9570.87
2024-09-11 05:00,9744.89
2024-09-11 15:00,9918.90
2024-09-12 08:00,9822.23
2024-09-12 18:00,9723.04
2024-09-27 13:00,9898.05
2024-09-27 19:00,9800.82
2024-09-30 15:00,9975.84
2024-10-01 09:00,9878.61
2024-10-04 13:00,9779.63
2024-10-07 13:00,9679.87
2024-10-16 16:00,9857.68
2024-10-23 12:00,10031.92
2024-10-31 11:00,9933.34
2024-10-31 15:00,10113.92
2024-11-01 18:00,10014.58
2024-11-06 01:00,9914.44
2024-11-13 16:00,10095.01
2024-11-21 17:00,10273.47
2024-11-22 10:00,10449.89
2024-11-25 00:00,10348.94
2024-11-26 00:00,10245.45
2024-11-27 14:00,10140.95
2024-12-02 16:00,10039.54
2024-12-12 09:00,9939.14
2024-12-18 20:00,10123.56
2024-12-18 21:00,10304.27
2024-12-30 12:00,10201.23
2024-12-31 17:00,10386.71
2025-01-02 11:00,10570.33
2025-01-13 05:00,10760.60
2025-01-14 09:00,10652.99
2025-01-15 14:00,10545.38
2025-02-02 23:00,10439.93
2025-02-12 02:00,10339.53
2025-02-12 14:00,10236.14
2025-02-28 19:00,10133.78
2025-03-03 15:00,10032.44
2025-03-05 15:00,10211.34
2025-03-11 02:00,10395.60
2025-03-25 15:00,10291.64
2025-04-02 07:00,10188.72
2025-04-03 09:00,10369.31
2025-04-03 14:00,10267.42
2025-04-04 03:00,10450.82
2025-04-04 11:00,10346.42
2025-04-11 01:00,10532.65
2025-04-16 16:00,10429.19
2025-04-30 13:00,10324.90
2025-04-30 16:00,10220.60
2025-05-06 15:00,10118.40
2025-05-19 08:00,10017.21
2025-05-26 02:00,10201.19
2025-05-29 00:00,10101.01
2025-06-12 13:00,10282.83
2025-06-17 18:00,10180.00
2025-06-23 04:00,10077.99
2025-06-24 04:00,9977.21
2025-07-01 09:00,10156.80
2025-07-07 03:00,10057.03
2025-07-15 16:00,9956.46
2025-07-28 08:00,9856.89
2025-07-29 08:00,9757.33
2025-08-01 13:00,9659.76
2025-08-01 14:00,9562.18
2025-08-06 11:00,9466.56
2025-08-11 12:00,9371.90
2025-08-14 13:00,9278.18
2025-08-22 04:00,9184.46
2025-08-28 11:00,9091.68
2025-09-02 10:00,9000.76
2025-09-17 19:00,9162.77
2025-09-17 19:00,9324.79
2025-10-09 15:00,9492.63
2025-10-10 16:00,9399.39
2025-10-15 16:00,9304.46
2025-10-28 15:00,9210.46
2025-10-30 13:00,9118.36
2025-11-03 15:00,9027.18
2025-11-14 12:00,8936.90
2025-11-26 19:00,8847.54
2025-12-03 13:00,8756.35
2026-01-06 07:00,8913.97
2026-01-16 16:00,8826.40
2026-01-20 05:00,8738.14
2026-01-23 02:00,8898.59
2026-01-25 23:00,9055.88
2026-01-27 21:00,9218.88
2026-01-29 04:00,9381.89
2026-03-11 15:00,9278.42
2026-03-26 18:00,9184.61
2026-04-01 00:00,9092.76
2026-04-17 13:00,8998.94
2026-04-17 21:00,8908.95
2026-05-15 01:00,8819.86
2026-06-05 16:00,8978.62
2026-06-24 09:00,8887.69
2026-07-15 18:00,8798.81
