exit_date_utc,equity
start,10000.00
2012-03-08 18:00,10150.00
2012-03-15 02:00,10048.50
2012-03-20 09:00,10098.74
2012-03-26 15:00,9997.76
2012-04-02 15:00,9897.78
2012-04-12 16:00,9798.80
2012-05-04 14:00,9700.81
2012-05-17 20:00,9846.32
2012-05-31 15:00,9994.02
2012-06-06 08:00,10043.99
2012-06-21 16:00,9943.55
2012-07-20 14:00,9993.27
2012-09-11 10:00,10143.17
2012-10-09 16:00,10041.73
2012-11-16 17:00,10192.36
2012-12-12 18:00,10345.25
2012-12-17 07:00,10241.79
2013-01-11 22:00,10293.00
2013-04-11 12:00,10344.47
2013-04-25 13:00,10241.02
2013-05-09 19:00,10138.61
2013-06-06 16:00,10189.31
2013-06-19 19:00,10087.41
2013-07-11 05:00,9986.54
2013-07-29 19:00,10136.34
2013-08-21 07:00,10034.97
2013-09-06 13:00,10085.15
2013-09-18 19:00,10236.42
2013-09-25 09:00,10134.06
2013-10-17 08:00,10032.72
2013-11-29 18:00,10183.21
2014-01-09 06:00,10335.96
2014-01-23 00:00,10491.00
2014-01-31 16:00,10386.09
2014-02-19 14:00,10282.23
2014-02-21 19:00,10333.64
2014-02-28 14:00,10385.31
2014-03-05 16:00,10281.45
2014-03-18 18:00,10178.64
2014-04-09 19:00,10331.32
2014-06-05 16:00,10382.98
2014-06-20 13:00,10538.72
2014-07-01 17:00,10696.80
2014-07-03 13:00,10589.83
2014-07-07 15:00,10483.93
2014-07-18 13:00,10379.10
2014-07-25 16:00,10534.78
2014-08-15 14:00,10587.46
2014-10-15 00:00,10746.27
2014-10-21 08:00,10638.80
2014-10-28 14:00,10532.42
2014-10-31 13:00,10427.09
2014-11-07 14:00,10322.82
2014-11-20 14:00,10219.59
2014-11-27 16:00,10117.40
2015-01-09 14:00,10269.16
2015-01-14 08:00,10423.20
2015-02-03 19:00,10475.31
2015-02-12 15:00,10527.69
2015-03-18 21:00,10580.33
2015-04-08 11:00,10474.52
2015-04-15 16:00,10369.78
2015-05-20 07:00,10421.63
2015-06-10 06:00,10473.74
2015-06-22 17:00,10526.10
2015-07-01 18:00,10684.00
2015-07-24 12:00,10844.26
2015-07-28 16:00,10735.81
2015-08-06 20:00,10628.45
2015-08-27 11:00,10681.60
2015-08-31 17:00,10574.78
2015-10-01 14:00,10627.65
2015-10-21 15:00,10521.38
2015-10-28 16:00,10573.99
2015-12-08 13:00,10732.59
