exit_date_utc,equity
start,10000.00
2023-10-24 09:00,9900.00
2023-10-27 09:00,9801.00
2023-11-03 15:00,9997.02
2023-11-07 12:00,9897.05
2023-12-01 16:00,9799.04
2023-12-05 23:00,9700.07
2023-12-07 15:00,9603.07
2023-12-21 14:00,9801.01
2023-12-28 10:00,9704.98
2024-01-03 14:00,9606.97
2024-03-08 14:00,9510.90
2024-03-18 20:00,9412.91
2024-03-20 21:00,9315.86
2024-03-21 09:00,9504.12
2024-04-04 07:00,9690.43
2024-04-12 13:00,9593.53
2024-04-12 13:00,9498.49
2024-04-19 03:00,9688.46
2024-04-22 04:00,9591.57
2024-04-24 01:00,9496.59
2024-04-24 02:00,9401.60
2024-05-03 13:00,9589.64
2024-05-22 07:00,9777.67
2024-05-29 15:00,9679.89
2024-05-30 07:00,9584.00
2024-07-02 14:00,9488.16
2024-07-24 13:00,9393.27
2024-07-25 01:00,9584.95
2024-07-25 13:00,9489.06
2024-07-31 02:00,9678.84
2024-08-01 09:00,9866.70
2024-08-05 06:00,10060.28
2024-08-05 07:00,10250.06
2024-08-07 02:00,10147.56
2024-08-23 15:00,10347.50
2024-08-29 09:00,10244.03
2024-08-29 09:00,10140.55
2024-09-06 14:00,10039.15
2024-09-12 15:00,9937.74
2024-09-12 18:00,9837.35
2024-09-18 19:00,9735.94
2024-09-27 13:00,9930.66
2024-10-01 07:00,10125.38
2024-10-01 09:00,10028.02
2024-10-04 13:00,9928.72
2024-10-07 13:00,9827.46
2024-10-10 09:00,10028.02
2024-10-17 14:00,10228.58
2024-10-23 12:00,10429.14
2024-10-31 11:00,10326.86
2024-11-01 18:00,10223.59
2024-11-06 01:00,10121.35
2024-11-06 09:00,10017.06
2024-11-13 16:00,10225.64
2024-11-18 23:00,10123.39
2024-11-21 18:00,10323.73
2024-11-25 00:00,10221.47
2024-11-27 14:00,10118.24
2024-12-18 20:00,10322.66
2024-12-18 21:00,10525.03
2024-12-30 12:00,10419.78
2024-12-31 17:00,10630.28
2025-01-13 10:00,10842.89
2025-01-14 09:00,10736.58
2025-02-02 23:00,10629.22
2025-02-12 02:00,10528.03
2025-02-12 14:00,10422.75
2025-02-28 19:00,10318.53
2025-03-05 18:00,10219.86
2025-03-25 15:00,10117.66
2025-04-02 23:00,10326.12
2025-04-03 11:00,10532.49
2025-04-03 14:00,10431.31
2025-04-04 03:00,10637.83
2025-04-04 11:00,10531.54
2025-04-11 01:00,10742.17
2025-04-16 16:00,10636.86
2025-04-30 13:00,10530.49
2025-04-30 16:00,10424.12
2025-05-06 15:00,10319.88
2025-05-08 18:00,10526.27
2025-05-19 08:00,10421.01
2025-05-29 00:00,10316.80
2025-06-11 13:00,10525.28
2025-06-24 04:00,10420.03
2025-06-25 19:00,10626.37
2025-07-07 03:00,10520.10
2025-07-10 15:00,10413.84
2025-07-15 16:00,10309.70
2025-07-28 08:00,10206.60
2025-07-29 08:00,10103.51
2025-08-01 13:00,10002.47
2025-08-01 14:00,9901.44
2025-08-06 11:00,9802.42
2025-08-11 12:00,9704.40
2025-08-22 04:00,9607.35
2025-08-28 11:00,9510.31
2025-09-02 10:00,9415.21
2025-09-17 19:00,9603.51
2025-09-17 19:00,9791.82
2025-09-25 13:00,9693.90
2025-10-07 13:00,9596.96
2025-10-09 15:00,9790.84
2025-10-15 16:00,9692.93
2025-10-28 15:00,9595.02
2025-10-30 13:00,9499.07
2025-11-03 15:00,9404.08
2025-11-14 12:00,9310.04
2025-11-26 19:00,9216.94
2025-12-03 13:00,9121.95
2026-01-07 02:00,9304.39
2026-01-16 16:00,9213.17
2026-01-20 05:00,9121.03
2026-01-22 01:00,9307.12
2026-01-25 23:00,9493.27
2026-01-27 17:00,9679.41
2026-02-06 01:00,9582.61
2026-03-02 08:00,9487.68
2026-03-11 15:00,9382.37
2026-03-26 18:00,9286.54
2026-04-01 00:00,9193.67
2026-04-17 13:00,9098.80
2026-04-17 21:00,9007.81
2026-05-15 01:00,8917.73
2026-06-05 18:00,9096.09
2026-06-24 09:00,9004.15
2026-07-15 18:00,8914.11
