time,open,high,low,close,#1,#2,#3,#5
2026-04-06T22:00:00+01:00,0.69168,0.69232,0.68985,0.69176,0.69168,0.68882,0.68962,0.66717
2026-04-07T06:00:00+01:00,0.69177,0.69488,0.69092,0.69378,0.69168,0.68882,0.68962,0.66717
2026-04-07T14:00:00+01:00,0.69377,0.6979,0.69246,0.69762,0.69168,0.68882,0.68962,0.66717
2026-04-07T22:00:00+01:00,0.69702,0.70847,0.69654,0.70675,0.69702,0.68882,0.68962,0.66717
2026-04-08T06:00:00+01:00,0.70674,0.70834,0.70326,0.70708,0.69702,0.68882,0.68962,0.66717
2026-04-08T14:00:00+01:00,0.70704,0.70783,0.70288,0.70436,0.69702,0.68882,0.68962,0.66717
2026-04-08T22:00:00+01:00,0.70452,0.70508,0.7025,0.70403,0.70452,0.68882,0.68962,0.66717
2026-04-09T06:00:00+01:00,0.70402,0.70461,0.70222,0.70413,0.70452,0.68882,0.68962,0.66717
2026-04-09T14:00:00+01:00,0.70415,0.70949,0.70397,0.70837,0.70452,0.68882,0.68962,0.66717
2026-04-09T22:00:00+01:00,0.70802,0.7087,0.70654,0.70671,0.70802,0.68882,0.68962,0.66717
2026-04-10T06:00:00+01:00,0.7067,0.70836,0.70535,0.70764,0.70802,0.68882,0.68962,0.66717
2026-04-10T14:00:00+01:00,0.70764,0.70938,0.70558,0.70638,0.70802,0.68882,0.68962,0.66717
2026-04-12T22:00:00+01:00,0.69946,0.70424,0.69927,0.70368,0.69946,0.69946,0.68962,0.66717
2026-04-13T06:00:00+01:00,0.70368,0.70588,0.70294,0.70437,0.69946,0.69946,0.68962,0.66717
2026-04-13T14:00:00+01:00,0.70439,0.71006,0.70422,0.7096,0.69946,0.69946,0.68962,0.66717
2026-04-13T22:00:00+01:00,0.7092,0.71025,0.70787,0.70882,0.7092,0.69946,0.68962,0.66717
2026-04-14T06:00:00+01:00,0.70886,0.71368,0.70772,0.71364,0.7092,0.69946,0.68962,0.66717
2026-04-14T14:00:00+01:00,0.71363,0.7148,0.71243,0.71266,0.7092,0.69946,0.68962,0.66717
2026-04-14T22:00:00+01:00,0.71199,0.7134,0.71186,0.7133,0.71199,0.69946,0.68962,0.66717
2026-04-15T06:00:00+01:00,0.71329,0.71483,0.71296,0.71388,0.71199,0.69946,0.68962,0.66717
2026-04-15T14:00:00+01:00,0.71389,0.71778,0.71389,0.71706,0.71199,0.69946,0.68962,0.66717
2026-04-15T22:00:00+01:00,0.71648,0.71976,0.7163,0.71888,0.71648,0.69946,0.68962,0.66717
2026-04-16T06:00:00+01:00,0.71886,0.71913,0.71642,0.71723,0.71648,0.69946,0.68962,0.66717
2026-04-16T14:00:00+01:00,0.71726,0.71782,0.71522,0.71621,0.71648,0.69946,0.68962,0.66717
2026-04-16T22:00:00+01:00,0.71633,0.71696,0.7154,0.71686,0.71633,0.69946,0.68962,0.66717
2026-04-17T06:00:00+01:00,0.71685,0.72119,0.71609,0.72114,0.71633,0.69946,0.68962,0.66717
2026-04-17T14:00:00+01:00,0.72115,0.7222,0.7166,0.71674,0.71633,0.69946,0.68962,0.66717
2026-04-19T22:00:00+01:00,0.71272,0.71588,0.71166,0.7156,0.71272,0.71272,0.68962,0.66717
2026-04-20T06:00:00+01:00,0.71555,0.71654,0.71422,0.71584,0.71272,0.71272,0.68962,0.66717
2026-04-20T14:00:00+01:00,0.71586,0.71802,0.7154,0.71784,0.71272,0.71272,0.68962,0.66717
2026-04-20T22:00:00+01:00,0.71748,0.71827,0.7165,0.71666,0.71748,0.71272,0.68962,0.66717
2026-04-21T06:00:00+01:00,0.71666,0.7173,0.71436,0.71602,0.71748,0.71272,0.68962,0.66717
2026-04-21T14:00:00+01:00,0.71602,0.71862,0.71303,0.71542,0.71748,0.71272,0.68962,0.66717
