time,open,high,low,close,#1,#2,#3,#5
2026-06-15T22:00:00+01:00,1.15939,1.15958,1.15856,1.15931,1.15939,1.15752,1.16543,1.17498
2026-06-16T02:00:00+01:00,1.1593,1.15952,1.15758,1.1579,1.15939,1.15752,1.16543,1.17498
2026-06-16T06:00:00+01:00,1.1579,1.16065,1.15748,1.16058,1.15939,1.15752,1.16543,1.17498
2026-06-16T10:00:00+01:00,1.16058,1.16131,1.15914,1.15996,1.15939,1.15752,1.16543,1.17498
2026-06-16T14:00:00+01:00,1.15995,1.16198,1.1588,1.16133,1.15939,1.15752,1.16543,1.17498
2026-06-16T18:00:00+01:00,1.16132,1.16142,1.16058,1.16085,1.15939,1.15752,1.16543,1.17498
2026-06-16T22:00:00+01:00,1.16098,1.16168,1.16085,1.16148,1.16098,1.15752,1.16543,1.17498
2026-06-17T02:00:00+01:00,1.16146,1.16161,1.16084,1.16124,1.16098,1.15752,1.16543,1.17498
2026-06-17T06:00:00+01:00,1.16124,1.16149,1.15982,1.1602,1.16098,1.15752,1.16543,1.17498
2026-06-17T10:00:00+01:00,1.1602,1.1606,1.15854,1.16022,1.16098,1.15752,1.16543,1.17498
2026-06-17T14:00:00+01:00,1.16022,1.16028,1.1581,1.15917,1.16098,1.15752,1.16543,1.17498
2026-06-17T18:00:00+01:00,1.15917,1.15963,1.14779,1.1502,1.16098,1.15752,1.16543,1.17498
2026-06-17T22:00:00+01:00,1.15013,1.15208,1.15003,1.15155,1.15013,1.15752,1.16543,1.17498
2026-06-18T02:00:00+01:00,1.15154,1.15264,1.15131,1.15232,1.15013,1.15752,1.16543,1.17498
2026-06-18T06:00:00+01:00,1.15232,1.15283,1.14821,1.14826,1.15013,1.15752,1.16543,1.17498
2026-06-18T10:00:00+01:00,1.14826,1.1486,1.14532,1.14694,1.15013,1.15752,1.16543,1.17498
2026-06-18T14:00:00+01:00,1.14694,1.14876,1.14614,1.14653,1.15013,1.15752,1.16543,1.17498
2026-06-18T18:00:00+01:00,1.14654,1.14736,1.14513,1.14579,1.15013,1.15752,1.16543,1.17498
2026-06-18T22:00:00+01:00,1.1463,1.14658,1.14572,1.1462,1.1463,1.15752,1.16543,1.17498
2026-06-19T02:00:00+01:00,1.1462,1.14634,1.14274,1.14288,1.1463,1.15752,1.16543,1.17498
2026-06-19T06:00:00+01:00,1.14288,1.14659,1.1418,1.14644,1.1463,1.15752,1.16543,1.17498
2026-06-19T10:00:00+01:00,1.14644,1.1475,1.14526,1.14711,1.1463,1.15752,1.16543,1.17498
2026-06-19T14:00:00+01:00,1.14712,1.14762,1.14568,1.1469,1.1463,1.15752,1.16543,1.17498
2026-06-19T18:00:00+01:00,1.1469,1.14807,1.14658,1.14712,1.1463,1.15752,1.16543,1.17498
2026-06-21T22:00:00+01:00,1.14638,1.14697,1.14574,1.14666,1.14638,1.14638,1.16543,1.17498
2026-06-22T02:00:00+01:00,1.14665,1.14737,1.1453,1.1456,1.14638,1.14638,1.16543,1.17498
2026-06-22T06:00:00+01:00,1.14561,1.14634,1.14416,1.1451,1.14638,1.14638,1.16543,1.17498
2026-06-22T10:00:00+01:00,1.1451,1.14636,1.14475,1.1455,1.14638,1.14638,1.16543,1.17498
2026-06-22T14:00:00+01:00,1.14549,1.14552,1.14254,1.1431,1.14638,1.14638,1.16543,1.17498
