time,open,high,low,close,#1,#2,#3,#5
2026-04-06T22:00:00+01:00,0.92106,0.9223,0.921,0.9215,0.92106,0.92206,0.92364,0.93155
2026-04-07T06:00:00+01:00,0.92152,0.92478,0.92128,0.92446,0.92106,0.92206,0.92364,0.93155
2026-04-07T14:00:00+01:00,0.92448,0.92659,0.92442,0.92504,0.92106,0.92206,0.92364,0.93155
2026-04-07T22:00:00+01:00,0.92546,0.92576,0.92184,0.92192,0.92546,0.92206,0.92364,0.93155
2026-04-08T06:00:00+01:00,0.92192,0.9228,0.92062,0.92247,0.92546,0.92206,0.92364,0.93155
2026-04-08T14:00:00+01:00,0.92247,0.92356,0.92196,0.9229,0.92546,0.92206,0.92364,0.93155
2026-04-08T22:00:00+01:00,0.92312,0.92328,0.92251,0.92296,0.92312,0.92206,0.92364,0.93155
2026-04-09T06:00:00+01:00,0.92296,0.9242,0.92204,0.9238,0.92312,0.92206,0.92364,0.93155
2026-04-09T14:00:00+01:00,0.92379,0.92498,0.92178,0.92478,0.92312,0.92206,0.92364,0.93155
2026-04-09T22:00:00+01:00,0.92448,0.92503,0.92399,0.92409,0.92448,0.92206,0.92364,0.93155
2026-04-10T06:00:00+01:00,0.92408,0.92524,0.92278,0.9239,0.92448,0.92206,0.92364,0.93155
2026-04-10T14:00:00+01:00,0.9239,0.92608,0.9219,0.92544,0.92448,0.92206,0.92364,0.93155
2026-04-12T22:00:00+01:00,0.92314,0.92634,0.92262,0.92562,0.92314,0.92314,0.92364,0.93155
2026-04-13T06:00:00+01:00,0.92564,0.92582,0.92331,0.92374,0.92314,0.92314,0.92364,0.93155
2026-04-13T14:00:00+01:00,0.92373,0.92406,0.9208,0.92176,0.92314,0.92314,0.92364,0.93155
2026-04-13T22:00:00+01:00,0.92127,0.92188,0.92127,0.92152,0.92127,0.92314,0.92364,0.93155
2026-04-14T06:00:00+01:00,0.92152,0.92172,0.91944,0.92069,0.92127,0.92314,0.92364,0.93155
2026-04-14T14:00:00+01:00,0.92069,0.92144,0.91951,0.92122,0.92127,0.92314,0.92364,0.93155
2026-04-14T22:00:00+01:00,0.92127,0.92155,0.9208,0.92102,0.92127,0.92314,0.92364,0.93155
2026-04-15T06:00:00+01:00,0.92102,0.92248,0.91976,0.92232,0.92127,0.92314,0.92364,0.93155
2026-04-15T14:00:00+01:00,0.92231,0.92277,0.92105,0.92268,0.92127,0.92314,0.92364,0.93155
2026-04-15T22:00:00+01:00,0.92334,0.92354,0.9219,0.92209,0.92334,0.92314,0.92364,0.93155
2026-04-16T06:00:00+01:00,0.92208,0.92357,0.9215,0.9231,0.92334,0.92314,0.92364,0.93155
2026-04-16T14:00:00+01:00,0.92312,0.92363,0.92176,0.92329,0.92334,0.92314,0.92364,0.93155
2026-04-16T22:00:00+01:00,0.92323,0.92338,0.92242,0.92294,0.92323,0.92314,0.92364,0.93155
2026-04-17T06:00:00+01:00,0.92295,0.92328,0.92196,0.92222,0.92323,0.92314,0.92364,0.93155
2026-04-17T14:00:00+01:00,0.92223,0.92268,0.91926,0.91958,0.92323,0.92314,0.92364,0.93155
2026-04-19T22:00:00+01:00,0.91781,0.92025,0.91741,0.92016,0.91781,0.91781,0.92364,0.93155
2026-04-20T06:00:00+01:00,0.92014,0.9206,0.91854,0.91878,0.91781,0.91781,0.92364,0.93155
2026-04-20T14:00:00+01:00,0.91878,0.9189,0.91631,0.91749,0.91781,0.91781,0.92364,0.93155
