time,open,high,low,close,#1,#2,#3,#5
2025-06-27,1.16998,1.1754,1.1681,1.17185,,1.1457,1.13491,1.0355
2025-06-30,1.1731,1.17886,1.1708,1.1788,,1.1731,1.13491,1.0355
2025-07-01,1.17847,1.18299,1.17614,1.18058,,1.1731,1.17847,1.0355
2025-07-02,1.18024,1.181,1.17468,1.1799,,1.1731,1.17847,1.0355
2025-07-03,1.17967,1.18101,1.17174,1.17574,,1.1731,1.17847,1.0355
2025-07-04,1.17596,1.17876,1.17534,1.17774,,1.1731,1.17847,1.0355
2025-07-07,1.17857,1.17902,1.16865,1.17086,,1.17857,1.17847,1.0355
2025-07-08,1.17096,1.17654,1.16824,1.17256,,1.17857,1.17847,1.0355
2025-07-09,1.17211,1.17294,1.16897,1.17218,,1.17857,1.17847,1.0355
2025-07-10,1.17188,1.17497,1.16624,1.17006,,1.17857,1.17847,1.0355
2025-07-11,1.1699,1.17142,1.16648,1.16911,,1.17857,1.17847,1.0355
2025-07-14,1.16702,1.16978,1.16543,1.16656,,1.16702,1.17847,1.0355
2025-07-15,1.1665,1.16928,1.15929,1.16024,,1.16702,1.17847,1.0355
2025-07-16,1.15998,1.17217,1.15624,1.16417,,1.16702,1.17847,1.0355
2025-07-17,1.16372,1.16426,1.15569,1.15976,,1.16702,1.17847,1.0355
2025-07-18,1.1594,1.16722,1.15938,1.16255,,1.16702,1.17847,1.0355
2025-07-21,1.16297,1.17168,1.16147,1.16956,,1.16297,1.17847,1.0355
2025-07-22,1.16928,1.17608,1.16788,1.17544,,1.16297,1.17847,1.0355
2025-07-23,1.17544,1.17752,1.1711,1.1773,,1.16297,1.17847,1.0355
2025-07-24,1.17702,1.17888,1.17306,1.1749,,1.16297,1.17847,1.0355
2025-07-25,1.17394,1.1761,1.1703,1.17417,,1.16297,1.17847,1.0355
2025-07-28,1.17558,1.17706,1.15853,1.15887,,1.17558,1.17847,1.0355
2025-07-29,1.15912,1.15994,1.1519,1.15454,,1.17558,1.17847,1.0355
