time,open,high,low,close
2012-01-01T23:00:00+00:00,1565.3,1565.425,1565.175,1565.3
2012-01-02T22:00:00+00:00,1564.5,1564.548,1564.452,1564.5
2012-01-02T23:00:00+00:00,1564.525,1571.8865,1564.525,1571.8485
2012-01-03T00:00:00+00:00,1572.4385,1575.8235,1571.6735,1573.7235
2012-01-03T01:00:00+00:00,1573.7035,1577.961,1572.292,1577.5945
2012-01-03T02:00:00+00:00,1577.5935,1580.75,1577.0965,1577.1665
2012-01-03T03:00:00+00:00,1577.1415,1579.981,1574.3845,1579.255
2012-01-03T04:00:00+00:00,1579.23,1587.5935,1578.995,1586.5785
2012-01-03T05:00:00+00:00,1586.59,1587.403,1582.945,1583.9585
2012-01-03T06:00:00+00:00,1583.9335,1590.5865,1582.8635,1589.667
2012-01-03T07:00:00+00:00,1589.6935,1590.53,1585.7725,1587.815
2012-01-03T08:00:00+00:00,1587.813,1592.706,1585.1245,1586.309
2012-01-03T09:00:00+00:00,1586.2955,1590.53,1585.555,1589.4895
2012-01-03T10:00:00+00:00,1589.4545,1591.8045,1588.215,1589.5595
2012-01-03T11:00:00+00:00,1589.5815,1597.7735,1589.481,1595.4095
2012-01-03T12:00:00+00:00,1595.4195,1595.7695,1591.878,1592.0995
2012-01-03T13:00:00+00:00,1592.029,1592.929,1586.0275,1590.6295
2012-01-03T14:00:00+00:00,1590.54,1599.4885,1588.7385,1598.2665
2012-01-03T15:00:00+00:00,1598.2,1603.18,1596.23,1603.105
2012-01-03T16:00:00+00:00,1603.1205,1607.52,1602.2145,1603.1885
2012-01-03T17:00:00+00:00,1603.1685,1604.5805,1598.119,1599.0955
2012-01-03T18:00:00+00:00,1599.087,1602.7765,1598.0855,1600.7755
2012-01-03T19:00:00+00:00,1600.785,1605.762,1600.442,1604.8685
2012-01-03T20:00:00+00:00,1604.8835,1606.3795,1602.9955,1603.5705
2012-01-03T21:00:00+00:00,1603.55,1604.9,1602.6905,1604.025
2012-01-03T22:00:00+00:00,1603.975,1604.126,1602.7,1603.4285
2012-01-03T23:00:00+00:00,1603.4485,1607.0645,1603.276,1606.184
2012-01-04T00:00:00+00:00,1606.17,1608.5945,1601.658,1602.6455
2012-01-04T01:00:00+00:00,1602.6275,1602.692,1597.145,1599.725
2012-01-04T02:00:00+00:00,1599.745,1601.5775,1594.766,1596.4785
2012-01-04T03:00:00+00:00,1596.494,1598.855,1593.0735,1598.528
2012-01-04T04:00:00+00:00,1598.538,1602.715,1597.911,1597.981
2012-01-04T05:00:00+00:00,1598.0365,1599.4455,1596.591,1598.944
2012-01-04T06:00:00+00:00,1598.9245,1601.4175,1597.7965,1600.645
2012-01-04T07:00:00+00:00,1600.53,1605.609,1600.181,1605.108
2012-01-04T08:00:00+00:00,1605.134,1613.5255,1605.024,1605.785
2012-01-04T09:00:00+00:00,1605.8,1609.6,1603.589,1607.3855
2012-01-04T10:00:00+00:00,1607.41,1608.621,1599.6625,1601.2255
2012-01-04T11:00:00+00:00,1601.242,1603.58,1597.55,1599.4365
2012-01-04T12:00:00+00:00,1599.4165,1600.0965,1594.1245,1597.0595
2012-01-04T13:00:00+00:00,1597.0745,1601.4795,1593.505,1595.16
2012-01-04T14:00:00+00:00,1595.1425,1614.445,1594.473,1614.415
2012-01-04T15:00:00+00:00,1614.442,1614.9945,1603.205,1610.61
2012-01-04T16:00:00+00:00,1610.58,1613.266,1607.7355,1611.134
2012-01-04T17:00:00+00:00,1611.124,1616.915,1610.6395,1616.54
2012-01-04T18:00:00+00:00,1616.515,1618.728,1610.8335,1615.844
2012-01-04T19:00:00+00:00,1615.824,1615.879,1612.283,1613.2615
2012-01-04T20:00:00+00:00,1613.2745,1613.95,1610.3565,1612.012
2012-01-04T21:00:00+00:00,1612.05,1612.75,1611.149,1612.115
2012-01-04T22:00:00+00:00,1612.0945,1612.3,1610.9305,1611.9005
2012-01-04T23:00:00+00:00,1611.9205,1613.64,1609.8785,1611.54
2012-01-05T00:00:00+00:00,1611.5565,1614.45,1610.6565,1613.3155
2012-01-05T01:00:00+00:00,1613.3005,1613.97,1610.469,1613.9695
2012-01-05T02:00:00+00:00,1613.983,1616.958,1613.983,1616.8425
2012-01-05T03:00:00+00:00,1616.847,1618.077,1615.557,1616.2635
2012-01-05T04:00:00+00:00,1616.272,1616.945,1614.37,1614.7625
2012-01-05T05:00:00+00:00,1614.7875,1621.685,1614.7775,1618.886
2012-01-05T06:00:00+00:00,1618.826,1621.7965,1618.459,1621.394
2012-01-05T07:00:00+00:00,1621.433,1625.1215,1620.681,1624.511
2012-01-05T08:00:00+00:00,1624.449,1625.712,1614.343,1615.4615
2012-01-05T09:00:00+00:00,1615.495,1618.0285,1611.9595,1613.273
2012-01-05T10:00:00+00:00,1613.25,1616,1611.334,1612.1375
2012-01-05T11:00:00+00:00,1612.1475,1613.855,1604.975,1609.3635
2012-01-05T12:00:00+00:00,1609.35,1616.568,1607.17,1609.288
2012-01-05T13:00:00+00:00,1609.325,1614.3905,1601.116,1603.9395
2012-01-05T14:00:00+00:00,1603.901,1604.875,1596.9195,1602.696
2012-01-05T15:00:00+00:00,1602.671,1609.85,1598.8125,1608.311
2012-01-05T16:00:00+00:00,1608.286,1610.25,1602.43,1609.6745
2012-01-05T17:00:00+00:00,1609.6645,1617.324,1608.8425,1616.9595
2012-01-05T18:00:00+00:00,1616.9745,1623.543,1615.542,1622.9395
2012-01-05T19:00:00+00:00,1623.002,1624.7145,1620.3155,1620.3695
2012-01-05T20:00:00+00:00,1620.3745,1625.102,1620.145,1622.4225
2012-01-05T21:00:00+00:00,1622.35,1623.1695,1621.0885,1622.75
2012-01-05T22:00:00+00:00,1622.768,1622.768,1620.231,1621.699
2012-01-05T23:00:00+00:00,1621.722,1622.615,1619.4,1620.8585
2012-01-06T00:00:00+00:00,1621.0095,1622.2245,1617.0745,1618.675
2012-01-06T01:00:00+00:00,1618.6845,1621.0245,1617.9435,1620.5445
2012-01-06T02:00:00+00:00,1620.5295,1625.445,1620.0935,1624.902
2012-01-06T03:00:00+00:00,1624.8235,1627.425,1623.895,1625.7645
2012-01-06T04:00:00+00:00,1625.7445,1625.9235,1623.465,1624.1745
2012-01-06T05:00:00+00:00,1624.2165,1625.9595,1622.7695,1624.005
2012-01-06T06:00:00+00:00,1624.0495,1628.276,1624.0495,1627.6535
2012-01-06T07:00:00+00:00,1627.5465,1627.975,1618.3235,1620.4785
2012-01-06T08:00:00+00:00,1620.5145,1625.5785,1620.5145,1621.2835
2012-01-06T09:00:00+00:00,1621.2185,1623.9345,1620.3195,1620.63
2012-01-06T10:00:00+00:00,1620.6855,1623.679,1619.775,1621.437
2012-01-06T11:00:00+00:00,1621.397,1624.802,1619.9555,1622.73
2012-01-06T12:00:00+00:00,1622.665,1624.3675,1621.4765,1622.713
2012-01-06T13:00:00+00:00,1622.698,1627.165,1617.0795,1622.1745
2012-01-06T14:00:00+00:00,1622.18,1631.072,1614.4795,1618.985
2012-01-06T15:00:00+00:00,1618.956,1619.15,1608.921,1616.817
2012-01-06T16:00:00+00:00,1616.795,1622.6095,1615.9015,1617.915
2012-01-06T17:00:00+00:00,1617.885,1621.4545,1615.5685,1617.126
2012-01-06T18:00:00+00:00,1617.15,1619.4735,1615.592,1617.7055
2012-01-06T19:00:00+00:00,1617.6955,1618.2515,1616.1245,1617.3745
2012-01-06T20:00:00+00:00,1617.3595,1617.3985,1616.048,1616.8165
2012-01-06T21:00:00+00:00,1616.855,1617.452,1616.281,1617.017
2012-01-08T23:00:00+00:00,1616.3,1616.432,1609.708,1612.877
2012-01-09T00:00:00+00:00,1612.945,1613.683,1609.3285,1610.635
2012-01-09T01:00:00+00:00,1610.62,1613.2745,1607.17,1607.6235
2012-01-09T02:00:00+00:00,1607.6085,1608.645,1605.2315,1608.161
2012-01-09T03:00:00+00:00,1608.141,1608.8775,1606.4525,1607.8065
2012-01-09T04:00:00+00:00,1607.8225,1609.8685,1607.748,1608.8435
2012-01-09T05:00:00+00:00,1608.83,1612.2845,1607.9195,1611
2012-01-09T06:00:00+00:00,1611.143,1614.572,1610.61,1612.664
2012-01-09T07:00:00+00:00,1612.729,1618.328,1612.709,1617.8285
2012-01-09T08:00:00+00:00,1617.8315,1623.859,1617.7205,1621.0065
2012-01-09T09:00:00+00:00,1621.0015,1623.334,1619.8065,1620.4
2012-01-09T10:00:00+00:00,1620.32,1621.1745,1616.4605,1617.209
2012-01-09T11:00:00+00:00,1617.236,1621.0645,1615.837,1618.9695
2012-01-09T12:00:00+00:00,1618.8345,1619.646,1613.7,1615.617
